"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Switzerland","Conventional crude oil - imports","2024","Metric tons,  thousand","2529.677",""
"Switzerland","Conventional crude oil - imports","2023","Metric tons,  thousand","2809.424",""
"Switzerland","Conventional crude oil - imports","2022","Metric tons,  thousand","3042.187",""
"Switzerland","Conventional crude oil - imports","2021","Metric tons,  thousand","2276.257",""
"Switzerland","Conventional crude oil - imports","2020","Metric tons,  thousand","2804.39",""
"Switzerland","Conventional crude oil - imports","2019","Metric tons,  thousand","2732.024",""
"Switzerland","Conventional crude oil - imports","2018","Metric tons,  thousand","3018.407",""
"Switzerland","Conventional crude oil - imports","2017","Metric tons,  thousand","2847",""
"Switzerland","Conventional crude oil - imports","2016","Metric tons,  thousand","2930",""
"Switzerland","Conventional crude oil - imports","2015","Metric tons,  thousand","2785",""
"Thailand","Conventional crude oil - imports","2024","Metric tons,  thousand","48542.955326",""
"Thailand","Conventional crude oil - imports","2023","Metric tons,  thousand","47968.213058",""
"Thailand","Conventional crude oil - imports","2022","Metric tons,  thousand","45530.927835",""
"Thailand","Conventional crude oil - imports","2021","Metric tons,  thousand","43035.223368",""
"Thailand","Conventional crude oil - imports","2020","Metric tons,  thousand","42247.42268",""
"Thailand","Conventional crude oil - imports","2019","Metric tons,  thousand","42621.993127",""
"Thailand","Conventional crude oil - imports","2018","Metric tons,  thousand","47416.666667",""
"Thailand","Conventional crude oil - imports","2017","Metric tons,  thousand","46277.608",""
"Thailand","Conventional crude oil - imports","2016","Metric tons,  thousand","43862",""
"Thailand","Conventional crude oil - imports","2015","Metric tons,  thousand","44509",""
"Türkiye","Conventional crude oil - imports","2024","Metric tons,  thousand","30024.609",""
"Türkiye","Conventional crude oil - imports","2023","Metric tons,  thousand","31403.135",""
"Türkiye","Conventional crude oil - imports","2022","Metric tons,  thousand","33486.199",""
"Türkiye","Conventional crude oil - imports","2021","Metric tons,  thousand","31418.36",""
"Türkiye","Conventional crude oil - imports","2020","Metric tons,  thousand","29368.855",""
"Türkiye","Conventional crude oil - imports","2019","Metric tons,  thousand","31075",""
"Türkiye","Conventional crude oil - imports","2018","Metric tons,  thousand","20972",""
"Türkiye","Conventional crude oil - imports","2017","Metric tons,  thousand","25767",""
"Türkiye","Conventional crude oil - imports","2016","Metric tons,  thousand","24958",""
"Türkiye","Conventional crude oil - imports","2015","Metric tons,  thousand","25067",""
"United Kingdom","Conventional crude oil - imports","2024","Metric tons,  thousand","41380",""
"United Kingdom","Conventional crude oil - imports","2023","Metric tons,  thousand","40871",""
"United Kingdom","Conventional crude oil - imports","2022","Metric tons,  thousand","42021",""
"United Kingdom","Conventional crude oil - imports","2021","Metric tons,  thousand","36359",""
"United Kingdom","Conventional crude oil - imports","2020","Metric tons,  thousand","35057",""
"United Kingdom","Conventional crude oil - imports","2019","Metric tons,  thousand","43963",""
"United Kingdom","Conventional crude oil - imports","2018","Metric tons,  thousand","44162.799",""
"United Kingdom","Conventional crude oil - imports","2017","Metric tons,  thousand","43959.92",""
"United Kingdom","Conventional crude oil - imports","2016","Metric tons,  thousand","39438",""
"United Kingdom","Conventional crude oil - imports","2015","Metric tons,  thousand","42803",""
"United States","Conventional crude oil - imports","2024","Metric tons,  thousand","325827.7",""
