label,ticker,exchange,currency,quote_type,total_assets,net_assets,fund_size,fund_size_currency,fund_size_field,long_name,short_name,currency_hedged,currency_hedged_basis,history_start_date,history_end_date,history_rows,history_stale_days,included,reason
Mexico_2,EWW,PCX,USD,ETF,2596836608.0,2596836610.0,2596836608.0,USD,totalAssets,iShares MSCI Mexico ETF,iShares MSCI Mexico ETF,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Netherlands,EWN,PCX,USD,ETF,327109248.0,327109248.0,327109248.0,USD,totalAssets,iShares MSCI Netherlands ETF,iShares MSCI Netherlands Index ,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Pakistan,XBAK.L,LSE,USD,ETF,25399880.0,25399880.0,25399880.0,USD,totalAssets,Xtrackers - MSCI Pakistan Swap UCITS ETF,XTRACKERS X MSCI PAKISTAN SWAP,unknown,no_name_marker,2012-07-04,2026-03-05,3455.0,1.0,yes,
Philippines,XPHG.L,LSE,GBp,ETF,42219552.0,42219552.0,42219552.0,GBp,totalAssets,Xtrackers MSCI Philippines UCITS ETF 1C,XTRACKERS X MSCI PHILIPPINES 1C,unknown,no_name_marker,2011-04-12,2026-03-05,3758.0,1.0,yes,
Philippines_2,EPHE,PCX,USD,ETF,187502080.0,187502080.0,187502080.0,USD,totalAssets,iShares MSCI Philippines ETF,iShares MSCI Philippines ETF,unknown,no_name_marker,2010-09-29,2026-03-05,3881.0,1.0,yes,
Poland,SPOL.L,LSE,GBp,ETF,672281856.0,672281860.0,672281856.0,GBp,totalAssets,iShares MSCI Poland UCITS ETF USD (Acc),ISHARES V PUBLIC LIMITED COMPAN,unknown,no_name_marker,2011-01-21,2026-03-05,3819.0,1.0,yes,
Poland_2,IPOL.L,LSE,USD,ETF,672281856.0,672281860.0,672281856.0,USD,totalAssets,iShares MSCI Poland UCITS ETF USD (Acc),ISHARES V PUBLIC LIMITED COMPAN,unknown,no_name_marker,2011-01-21,2026-03-05,3820.0,1.0,yes,
Poland_3,EPOL,PCX,USD,ETF,642989248.0,642989250.0,642989248.0,USD,totalAssets,iShares MSCI Poland ETF,iShares MSCI Poland ETF,unknown,no_name_marker,2010-05-26,2026-03-05,3968.0,1.0,yes,
Saudi Arabia,IKSA.L,LSE,USD,ETF,500313312.0,500313312.0,500313312.0,USD,totalAssets,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),ISHARES III PLC ISH MSCI SA CAP,unknown,no_name_marker,2019-04-10,2026-03-05,1742.0,1.0,yes,
Saudi Arabia_2,KSA,PCX,USD,ETF,661614400.0,661614400.0,661614400.0,USD,totalAssets,iShares MSCI Saudi Arabia ETF,iShares MSCI Saudi Arabia ETF,unknown,no_name_marker,2015-09-17,2026-03-05,2631.0,1.0,yes,
Singapore,0JLR.L,LSE,USD,ETF,,,,USD,,"iShares, Inc. - iShares MSCI Singapore ETF",ISHARES MSCI SINGAPORE ETF ISHA,unknown,no_name_marker,2018-01-29,2026-03-05,753.0,1.0,yes,
Singapore_2,EWS,PCX,USD,ETF,794712768.0,794712770.0,794712768.0,USD,totalAssets,iShares MSCI Singapore ETF,iShares MSCI Singapore ETF,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
South Africa,SRSA.L,LSE,GBp,ETF,459249856.0,459249856.0,459249856.0,GBp,totalAssets,iShares MSCI South Africa UCITS ETF USD (Acc),ISHARES III PLC ISHRS MSCI SOUT,unknown,no_name_marker,2010-01-22,2026-03-05,4070.0,1.0,yes,
South Africa_2,IRSA.L,LSE,USD,ETF,459249856.0,459249856.0,459249856.0,USD,totalAssets,iShares MSCI South Africa UCITS ETF USD (Acc),ISHARES III PLC ISHRS MSCI SOUT,unknown,no_name_marker,2010-01-22,2026-03-05,4072.0,1.0,yes,
South Africa_3,EZA,PCX,USD,ETF,1114560000.0,1114560000.0,1114560000.0,USD,totalAssets,iShares MSCI South Africa ETF,iShares MSCI South Africa Index,unknown,no_name_marker,2003-02-07,2026-03-05,5805.0,1.0,yes,
South Korea_1,CSKR.L,LSE,USD,ETF,481024288.0,481024288.0,481024288.0,USD,totalAssets,iShares VII PLC - iShares MSCI Korea UCITS ETF USD (Acc),ISHARES VII PLC ISHRS MSCI KORE,unknown,no_name_marker,2010-09-17,2026-03-05,3905.0,1.0,yes,
South Korea_2,FLRK.L,LSE,GBP,ETF,2573300736.0,2573300740.0,2573300736.0,GBP,totalAssets,Franklin FTSE Korea UCITS ETF,FRANKLIN TEMPLETON ICAV FRK FTS,unknown,no_name_marker,2019-06-04,2026-03-05,1707.0,1.0,yes,
South Korea_3,EWY,PCX,USD,ETF,17952391168.0,17952391200.0,17952391168.0,USD,totalAssets,iShares MSCI South Korea ETF,iShares MSCI South Korea ETF,unknown,no_name_marker,2000-05-12,2026-03-05,6491.0,1.0,yes,
Spain,EWP,PCX,USD,ETF,1898224640.0,1898224640.0,1898224640.0,USD,totalAssets,iShares MSCI Spain ETF,iShares MSCI Spain ETF,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Sweden,OMXS.L,LSE,GBp,ETF,1792700544.0,1792700540.0,1792700544.0,GBp,totalAssets,iShares OMX Stockholm Capped UCITS ETF,ISHARES IV PLC ISHARES OMX STOC,unknown,no_name_marker,2016-12-15,2026-03-05,2328.0,1.0,yes,
Sweden_2,EWD,PCX,USD,ETF,361740576.0,361740576.0,361740576.0,USD,totalAssets,iShares MSCI Sweden ETF,iShares MSCI Sweden ETF,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
